,Article
545,Yazar: Esra Karadoğan
546,"Her şey Ramize Erer’in Bayan Yanı dergisindeki şu karikatürüyle mi başladı desek. Hayır, tabii ki. Aslında çoğu insanın kolayca anlayacağı üzere bu karikatürde rolleri bir ters düz etme var. Evde şiddet her zaman fiziksel şiddet olmuyor, kadınların bir kısmı yaptıkları işten, pişirdiği yemekten dolayı psikolojik şiddet görüyor. Tabii bu karikatür, olaya mizahla bakıyor, basitleştiriyor, ya tam tersi olsaydı diyor. Herkesin anlayacağını düşündüğümüz bir şey ama anlaşılmıyor, nedense erkekler böyle şakalardan “inciniyor.” İncinen erkeklik sosyal medyada kadın düşmanı her paylaşımı bulup kadın yasası mağdurları gibi komik bir ismin altında topluyor, yetmiyor böyle bir karikatürü bile çeşitli devlet kurumlarına şikâyet edebiliyor. "
547,"Bu tweetleri bu kadar ciddiye almalı mıyız? Trol işte
diyerek boş vermeliyiz belki de. Peki trol nedir bir bakalım."
548,"Trol:
İnternet’te insanların keyfini kaçırmayı ya
da münakaşa çıkarmayı amaçlayan kişi. Forumlar, bloglar,
sohbet odaları gibi çevrimiçi yerlerde insanları provoke ederek, duygusal
cevaplar vermeye zorlayan ya da konuşulan konuyu dağıtarak varlık göstermeye
çalışan kişi."
549,"Aslında “internet trolü”
mitolojideki “trol” adı verilen yaratıktan esinlenilerek türetilmiş bir
kelimedir. Tıpkı mitolojideki trol gibi internet trolü de gizlenerek sorun
yaratmaya çalışır. Trol mümkün olan her durumda öfkeli ve yıkıcı
tavırlar sergiler. Üstelik bunların çoğunlukla gerçek
bir amacı yoktur."
550,"Normal şartlar altında ben de bu yazılanları
umursamamam gerektiğini düşünürdüm. Başka koşullarda olsaydık, başka bir
dünyada, bir daha dönüp bakmayacağımız bir tweet iken markette duyduğumuz bir
diyalogda, yemek yediğimiz bir mekânda, ailemizden ya da arkadaşlarımızda
bunları duyabiliyoruz. İşte o an, en azından benim için sarsıcı… Bu paylaşımı
yapan hesabın ismi kadın yasası mağdurları, onları mağdur ettikleri inandıkları
yasa ise 6284. Yasanın adı: Ailenin Korunması ve Kadına Karşı Şiddetin Önlenmesine
Dair Bir Kanun. Malum İstanbul Sözleşmesinden çekilme açıklamasından sonra
çoğumuzun daha aşina olduğu bir yasa."
551,"Yasanın ilk maddesini olduğu gibi kopyalayacağım,
devamını merak edenler lütfen okusunlar, herkesin google’dan kolaylıkla
ulaşabileceği bir bilgi bu: "
552,"“Bu
Kanunun amacı; şiddete uğrayan veya şiddete uğrama tehlikesi bulunan
kadınların, çocukların, aile bireylerinin ve tek taraflı ısrarlı takip mağduru
olan kişilerin korunması ve bu kişilere yönelik şiddetin önlenmesi amacıyla
alınacak tedbirlere ilişkin usul ve esasları düzenlemektir.”"
553,"Ne İstanbul Sözleşmesi ne de 6284 sayılı yasa
“kadın kayırmacı.” Uygulansaydı eğer tek amacı mağduru, şiddet gören aile
bireylerini korumaya yönelik bir yasa olacaktı. Maalesef ki bizi rahatsız eden
o tweet, gündelik hayatın bir yansıması. Maalesef ki İstanbul Sözleşmesi’nin
kadın kayırmacı olduğuna inanan, artık vazgeçilen bir sözleşme ve yasaya bile
kin tutan bir kitle var. Cahillikle açıklayamayacağımız bir durum. Yasa metnin
arkasında gerçekten başka şeyler olduğunu düşünen insanlar da var, nedense
bizim anlayamayacağımıza inandıkları, dış güçlerin ve bizim toplum, aile
yapımızı bozmaya niyetlenmiş bir kesimin bu yasayı ortaya çıkardığına ve
desteklediğine inanıyorlar. Üstelik yasanın isminde “ailenin korunması” geçiyor.
Tüm bunlar bana delüzyonel geliyor, üzücü kısmı ise inananı çok."
554,"Maalesef tek değiller, gerçekten mağdur
olduklarına inanıyorlar. Kadınlar öldürülüyorken bile nasıl oluyorsa erkekler
mağdur oluyor. Devlet sözleşmeden çekildiğini açıklıyor, apaçık kanunları
uygulamıyor, karşı çıktıkları kanun uygulanmıyor ama yine de erkekler mağdur
oluyor. Bir tane değiller, istisna değiller. Çoklar. "
555,"Kadın, aldatıyormuş diyorlar."
556,"Kadın, kadınlık yapmıyormuş diyorlar."
557,"Kadın, kocasını dinlemiyormuş, iyi yemek
yapmıyormuş, camdan bakıyormuş, komşuyla konuşuyormuş, dışarı çıkıyormuş,
diyorlar da diyorlar."
558,"Kadını kendi malı gören bir zihniyet bu ve
haliyle mağduru koruma söz konusu olduğunda kendilerini haklı buluyor."
559,"Sosyal medyadaki kısma geri dönersek eğer, o
tweete cumhurbaşkanını, adalet bakanını, bakanlıkları ekleyen ve bundan sonuç
alacağını bilen, en azından huzursuzluk vereceğini bilen bir kitle de var.
Devlet, kadın cinayetleri için gerekenleri yapmazken, tehdit edilen, şiddet
gören kadınlar çareyi sosyal medyada aramaya çalışırken bunlara sessiz kalan
yasa koyucular, başka konularda kaplan kesiliyor."
560,"2021’de 12 Nisan, sosyal medyada tecavüz günü
olarak ilan edilmişti. Bu durum “bir grup ergenin” yaptığı bir iş olarak
adlandırıldı ve kimse yargılanmadı. Fakat sosyal medyada söyledikleri duruyor
ve yazılanlar korkunç. O tweetlerin gerçeğe bir ayna tuttuğunun farkındayız ama
o tweetleri atanları durduran hiçbir şey yok, olmadı. Binlerce kadın
tetiklendi, kendini tehdit altında hissetti. Çünkü biz kadınlar
yaşadıklarımızdan, arkadaşlarımızın yaşadıklarından, diğer kadınlardan olabilecekleri
biliyoruz. "
561,"Olanları şaşkınlıkla izliyorum. Bir yanda bir
karikatürden bile tetiklenen insanlar var, 6284’ün aile yapısını kökten
değiştireceğine, karikatürdeki gibi olacağına inananlar var ki keşke olsa, bir
yasa böyle güçlü olsa ve bunu yapsa… Diğer yanda sürekli kadınlar tarafından
mağdur edildiklerine inanan bir kesim var, evlilik, boşanmak, bir ilişki içinde
olmak, hepsi kadınların onları kullanmak için yaptıklarının bir parçası diye düşünüyorlar.
Bunun adı mizojini, ciddi bir nefret ve bunu içlerinde tutamıyorlar,
saklayamıyorlar. Halbuki korktukları kadın koruyucu yasa, yani 6284, şiddet
ihtimalini ortadan kaldırması gereken bir yasa iken, uygulayıcı kurumlar yaşanan
şiddet durumunda bile kadını korumakta eksik kalıyor. Kadın katilleri özgür ve
buna onay veren, aslında erkeklerin kayıran bir devlet var. Üstüne yeni
türeyen, “ergen” denilerek etkisi hafifletilmeye çalışan grupların kadınları
apaçık savurduğu ölüm ve tecavüz tehditleri var. Devlet sosyal medyayı ciddiye
alıyor gibi görünüyor fakat açık açık kadınları tecavüz ve cinayet tehdidi
içeren tweetleri atanlara hiçbir şey yapılmadı."
562,"Her gün öldürülen kadınların haberlerini okuyoruz
ve her gün katillerin cezai indirimle salıverildiğini. Bu yazının yazıldığı
sırada Pınar Gültekin davası görülüyordu ve dava yine ertelendi. Kadınların
acımasız ve sistematik yöntemlerle öldürüldüğü bir dönemden geçiyoruz. Kadın
koruyucu yasayla ilgili uygulamalar İstanbul Sözleşmesinin iptalinden beri
aksıyor, devamı gelmiyor, bütüncül bir şekilde uygulanmıyor. Uygulansa bile,
Türkiye’de kadına karşı şiddet o kadar normal ki sıradan bir sebepten
erkek evden uzaklaştırılıyor diye olumsuz bir kamuoyu kanaati oluşuyor. Cezalar
caydırıcı olmaktan öte, “aslansın, yaparsın, kadın elinin kiri” mesajı veriyor.
Uygulanmayan, uygulanmadığı için kadınların ölümüne sebep olan, imkân veren,
katillerle iş birliği yapıldığı anlamına gelen bir durum var ortada ama
erkekler hâlâ İstanbul sözleşmesi ve 6284’ün peşindeler. Halbuki ortada anıt
sayaç var, her gün öldürülen kadınlar, katillerin “nasılsa bana bir şey
olmayacağı rahatlığı var. 2022 yılında 108 kadın öldürülmüş, daha fazla
olmaması için yapılması gerekenler belli ama mevcut, korumaya yetmeyen bu
yasalara bile “kadın kayırıcı” denmesi, kötülüğün boyutunu sergiliyor. Biz tüm
bunları sosyal medyadan öğreniyoruz."
563,"Kadınlar sosyal medyada adalet aramaya çalışıyor,
daha fazla kadın öldürülmesin diye uğraşıyor ama erkekler mağduru, şiddet
göreni koruma adına ortaya çıkarılmış sözleşmeden yasalardan mağdur oluyor. Kadınlar
öldürülme korkusuyla yaşıyor ama katil erkekler ellerini kollarını sallayarak
gezebiliyor."
564,Kadın kayırmacılığı mı demiştiniz? 
565,"“Şapka takmamak için direnen, hatta ölen insanlardan baş örtüsü takmak için mücadele eden insanlardan geldiğimiz nokta” yazmış biri, bir başkası ise “İlke ve inkılaplara uygundur,” demiş —güldürdü, yalan yok."
566,Günümüzde köy the new black olduğu için köye giden insan sayısı da artmaya başladı. Bunun sebebi köyde yapılacak bir işin kalmaması sanırım. Gerçekte köyde işler hiç bitmez ancak o işlerin yapılacağını buyuran...
567,Küçüklüğü Kuran kurslarında ve sohbet ortamlarında geçmiş biri olarak böyle yerlerde sürüden ayrı olarak var olmanın hiç de kolay olmadığını söylemeliyim.
568,                                                                                                           Konuk Yazar: Y
569,"Babam bana her zaman kaç yaşına gelirsem geleyim onun küçük kızı olacağımı söyledi. Bunun bir çeşit sevgi ifadesi olduğunu biliyorum, o koruma isteğini de. Bana hep, “Çocuğun olduğunda anlayacaksın,” dedi. Ben artık, bunu hiç anlamayacağımı anladım. Onların benim bir yetişkin olduğumu unuttuklarını da."
570,"Sofrada oturuyoruz, daha önce kardeşim uyardı beni. “Abla
saçın görünüyor.” Biliyorum dedim. Evdeyiz ve namahrem kimse yok, birazdan
evden çıkacağım sadece. Çıkmadan önce düzeltmesem, söyleme isteğinin bir anlamı
olur diye düşünüyorum. Bir süredir bone takmıyorum ve bone takmamam rahatsız
ediyor onları. Onlar bazen komşu teyze oluyor, bazen sosyal medyada biri, bazen
hiç tanımadığım bir erkek, bazen aileden biri. Nedense herkes, her şeyi biliyor
ve beni uyarma hakkını buluyor kendisinde. "
571,"Sosyal medyada paylaştığım bir fotoğrafa yorum geliyor:
“Abla saçın görünüyor.” Sağ ol kardeşim, diyesim geliyor. Sen demeseydin, ben
asla bilemezdim, çünkü evimde ayna yok ve kameradan bunu görmemi sağlayacak
gözlerim de."
572,"Başka bir gün, bu sefer ailecek ve daha kalabalığız. Birbirlerinden
habersiz uyarmaya başlıyorlar beni. Annem, “Bone tak,” diyor. Kardeşim, “Abla
bonen yok diye şalın kayıyor,” diye akıl veriyor. Halbuki bonenin beni
boğduğunu söylemiştim. Saçımın o kadar görünmesi beni rahatsız etmiyor bir
süredir. Yanlış doğru demiyorum, savunmanızı ya da yermenizi de istemiyorum.
Sadece durumum bu. "
573,"Ramazanın gelmesiyle bu durum artık saçma bir noktaya
ulaştı. İyi niyet görmüyorum artık. Babam, ismini bilmediği için, “Bereni tak,”
diyor. İlerleyen saatlerde bu sefer annem kuran okumam için nasihat etmeye
başlıyor. Ben böyle biri değildim, bunu biliyorum. Kuranımı okur, namazımı
kılardım, en sevdiğim namaz sabah namazıydı, ramazan ayı beni heyecanlandırır
ve mutlu ederdi. Tüm bunları kaybettim ben. Kaybettim ve durdum. Durduğum yerde
bulmaya çalışıyorum, neden kaybettim ve bana ne oldu diye soruyorum. Geçici bir
dönem olduğunu düşünüyorum. İnsan bazen şaşırır, bazen başka şeyler yapar,
bazen daha önce hiç görmediği yönlerini görür. “Bu da böyle bir süreç,
sanırım,” diyorum ama bu sürekli dürtülme hali beni çok rahatsız ediyor. Halbuki
ben yetişkinim, neyin ne olduğunu gayet iyi biliyorum. Her alanda yaptıklarımın
sonuçlarına katlanıyorum, katlanmak zorundayım."
574,"Onları çok da suçlamamam gerek diyorum bazen, küçük bir
çocukken ben de annemin saçlarını geriye doğru iterdim. Annemi düzeltirdim ama
ben çocuktum ve aklım ermezdi. Onlar yetişkin. Aklımın almadığı şey, benim
artık yetişkin bir kadın olduğumu göremiyorlar mı?"
575,"Uyarı dozu her geçen gün artıyor. Halbuki ben kimsenin
isteğiyle, yöneltmesiyle başımı örtmedim. Kendimden emin olana kadar bekledim. Şimdi
babam, pek de inançlı olmadığını söyleyen bir erkek, beni inancım doğrultusunda
düzgün yaşamadığım için uyarabiliyor. "
576,"“Kapanacaksan düzgün kapan, açılacaksan da tam açıl.” "
577,"“Tamam,” diyorum, “madem öyle açılayım.” Öyle bir niyetim de
yok hiç. Ortamda buz gibi bir rüzgâr esiyor. Bu diyaloğu ben istemedim halbuki.
Konuyu buraya onlar getirdiler. Halbuki kapanırken benim seçimim olduğu
söylenmişti. "
578,"Tebliğcilere kızıyorlar insanlar ve ben anlıyorum. O
uyarılma durumu çok rahatsız edici ne kadar iyi niyetli yapıldığı düşünülürse
düşünülsün kişisel alana müdahale. İnsanlar şu anki iklimden dolayı daha çok
rahatsız oluyor, bunun normal olduğunu biliyorum. Başörtülü bir kadın olarak,
nispeten daha Müslüman görünümlü biri olarak da bu şekilde ikaz edilmek beni rahatsız
ediyor. Halbuki yaratan bu konuda seçimi bana bırakmış ama diğer insanlar
seçimi bana bırakmak istemiyor. "
579,"“Şapka takmamak için direnen, hatta ölen insanlardan baş örtüsü takmak için mücadele eden insanlardan geldiğimiz nokta” yazmış biri, bir başkası ise “İlke ve inkılaplara uygundur,” demiş —güldürdü, yalan yok."
580,Günümüzde köy the new black olduğu için köye giden insan sayısı da artmaya başladı. Bunun sebebi köyde yapılacak bir işin kalmaması sanırım. Gerçekte köyde işler hiç bitmez ancak o işlerin yapılacağını buyuran...
581,Küçüklüğü Kuran kurslarında ve sohbet ortamlarında geçmiş biri olarak böyle yerlerde sürüden ayrı olarak var olmanın hiç de kolay olmadığını söylemeliyim.
582,"Merhaba, "
583,"Ben içinizden biriyim ama hem de dışınızdan biriyim. Kendimden
bahsedeyim ki beni az da olsa anlamaya çalışın. "
584,"Çalışıyorum, kendi ayaklarımın üzerinde dik durmaya çalışıyorum. Aynı
zamanda okuyorum yarım kalan hayallerimi tamamlamak için daha da mutlu olmak
için. Başım kapalı; bu detay önemli anlatacaklarım için…"
585,"Öncelikle Ankara’da iyi bir devlet üniversitesinde mimarlık-mühendislik
fakültesinde okuyorum. Ders aralarında eğer süre kısıtlı ise okulun mescidinde
kitap okuyarak ders vaktini bekliyorum. Burada okuduğum kitaplarda önemli zira
başındaki örtü ile doğru orantılı olmalı düşünceler… Zülfü Livaneli, Orhan Pamuk,
Selahattin Demirtaş, Ali Şeriati … bunlar ve benzerlerini gördüyseler tamam.
Aşağılayıcı, sorgulayıcı bakışlar. Mobbingin ibadet yerinde yapıldığını da
yaşatıyorlar."
586,"Hadi bunu geçelim siyasi sebepler inançlar vs. diyelim. Bu konularda
hoşgörü beklemiyorum bile bakın çünkü hiç görmedim."
587,"Bir gün ders aram çok olduğu için camiye gittim. hem vakit namazımı kılarım
hem de ders çalışırım diye düşündüm. Camiler teyzelerle meşhur aslında bunu her
gidişimde daha iyi anlıyorum. Öncelikle kıbleye yönelişim eleştirildi. Sanırım
santim olarak ölçerek yöneliyorlar. Tam olarak bu tarafa yöneleceksin bak
halıların şu rengi şu sebeple diyerek uyarı yedim. Peki teyzeciğim dedim. Çokta
dik başlılık yapmak istemedim. Ancak Kuranı Kerimdeki şu ayeti nedense okumak,
anlamak, anımsamak istemiyoruz. Keza;"
588,"“Doğu da Allah’ındır, batı da. Her nereye dönerseniz Allah’ın yüzü
(kıblesi) orasıdır. Şüphesiz ki Allah, kuşatandır, bilendir. (Bakara Suresi,
115)” "
589,"Bu kez
kıyafetim eleştirildi. Etek giymeliymişim, bol pantolonla olmazmış, dizlerim
belli olurmuş. Hadi buna da neyse dedim montumu belime bağladım! keza;"
590,"“Ey Âdemoğulları! Her mescide gidişinizde
güzel giysilerinizi giyin ve yiyin, için, fakat israf etmeyin, çünkü Allah
israf edenleri sevmez.”  (Araf Suresi, 7/31) ayetine rağmen
hala bazı şeylerin vitrinden ibaret olduğunu sanıyoruz."
591,"Namazımı kıldım oturdum test çözüp biraz ezber
yapacaktım. Başladım da yapmaya. Bir teyzemiz sürekli geldi baktı, dolandı
durdu. Önce temizlik için geldiğini düşündüm. İkindi vaktine daha vardı ve
erkeklerin katı temizleniyordu! Bir kaç kere daha geldi ve en sonunda iletişime
geçmeye karar verdi. Kuran mı okuyorsun dedi, hayır ders çalışıyorum dedim.
Kabullenmedi tabi ki cevabı ve soruyu tekrarladı; Kuran mı okuyorsun, hayır
ders çalışıyorum teyze dedim. Baştan aşşağı süzdü ve soruyu yineledi ama ek
olarak bizde kuran okuyorsun sandık dedi. Ders çalışıyorum bir mahsurumu var
diyebildim. Başka bir sürü açıklamam olurdu kafamda bir sürü ayet döndü durdu
ama yok dilimden dökülemedi. Çünkü ayetler değil vitrin önemliydi. Susmadı
devam etti;"
592,"Kuran okuma vakti olduğu için herkes Kuran okuyorken
sen de okuyorsun sandık dedi…"
593,Kuran okuma vakti!
594,Camide!
595,"Bakın Allah’ın evine Allah’ın huzuruna çıkmak için
geldiğim yerde başımdaki örtüden dolayı ekstra yüklerin yüklendiği yerde test
çözüyorum diye yadırgandım. "
596,"Başım kapalı evet ama ben bir insanım, melek değilim. Başımdaki
örtü emir olduğuna inandığım bir görevi yapmaktır. Ki bunu da sorguluyorum.
Bonemden birazcık saçım gözükse eleştiren insanlar; başı tamamen açıklara
şeytan olarak mı bakıyor veya erkeklerin saçları onları tahrik etmiyor mu veya
erkeklerin boyunları onları tahrik etmiyor mu? Bizler insanız nefslerimiz var
ve belki bizlerde karşı cinsin kulağından boynundan saçından etkilenecek
sapkınlığa sahibiz. Meselenin örtünmek olduğunu sorgulama hakkım da yok bu ayrı
mesele!"
597,"Namazımı kılmaya çalışıyorum, Allah her yerdedir ben
belli bir yön belirlenmesi lüzumuna katılmıyorum ama TOPLUM belirlediği için
tamam diyorum."
598,"Ben vücut hatlarını belli etmeyecek şekilde giyinen
bir bayanım ki belli de edilebilir bu kişisel bir tercih. Diz kapaklarım kimi
nasıl yoldan çıkarabilir. Bu din kadınlara mı indi sadece. Benim diz kapağım
birini tahrik ederken erkeklerin dar pantolonu beni bizi tahrik etmiyor mu? Onlara
da aynı şeyleri telaffuz edebilir misiniz? Hiç sanmıyorum."
599,"Kuran’ın sunduğu dinde temel gaye Allah’ı razı etmek
iken, ve bunu Kuran’a uyarak yapabilecekken uydurulan dinde bilhassa kadınlara
ekstra yüklerin yüklenmesi; kocasını razı etmesi, toplumu razı etmesi,
ibadetini istediği yerde yapamaması, Cuma namazı kılamaması, camide put gibi
durması vs. neden bunlar?"
600,"Kadınlara camilerde küçük dar yerleri layık görmenizi
mevzu bile etmiyorum. Bu nasıl adalet bu nasıl bir düşünce tarzı. Kadınların
yine kadınlara bu kadar manevi eziyette bulunması  neden?"
601,"Evinize gelen misafire sadece şunu yapabilirsin şunu
giyebilirsin şuraya bakabilirsin diyor musunuz?"
602,"Ciddi bir imtihan zamanından geçiyoruz. Her insan için
en büyük fitne, imtihanı kaybetmesine sebep olan her neyse o. Bu dünyadaki
imtihanı bazılarımız mal ile bazılarımız kibir, bazılarımız çoluk çocuk,
bazılarımız ise hala devam eden putlaştırma yüzünden kaybediyoruz. Bizler kadın
erkek farketmeksizin bir imtihandan geçiyoruz ve bu imtihanı sadece kadınlara
bindirdiğimizi düşünüyorum ve görüyorum. Hepimiz kendi imtihanımıza odaklanalım
ve lütfen Allah’ın evinde rahat bırakın bari!"
603,"“Şapka takmamak için direnen, hatta ölen insanlardan baş örtüsü takmak için mücadele eden insanlardan geldiğimiz nokta” yazmış biri, bir başkası ise “İlke ve inkılaplara uygundur,” demiş —güldürdü, yalan yok."
604,Günümüzde köy the new black olduğu için köye giden insan sayısı da artmaya başladı. Bunun sebebi köyde yapılacak bir işin kalmaması sanırım. Gerçekte köyde işler hiç bitmez ancak o işlerin yapılacağını buyuran...
605,Küçüklüğü Kuran kurslarında ve sohbet ortamlarında geçmiş biri olarak böyle yerlerde sürüden ayrı olarak var olmanın hiç de kolay olmadığını söylemeliyim.
606,Yazar: Esra Karadoğan 
607,"Etrafımdaki herkes otuz yaşından sonra eskisi gibi yani çocukluk ve gençliğimizdeki gibi samimi arkadaşlıkların olmadığını, yenilerinin de öncekiler gibi sağlam olmadığını söylüyordu. Ben kolay arkadaşlık edebilen biriyim, samimi olmak değil ama insanlarla genel olarak iyi iletişim kurabildiğimin farkındayım ve ilk gençlikte kurabildiğim sağlam dostluklar olmasına rağmen bu bakış açısını anlayabildiğimi düşünüyordum. Yıllarca değişimine eşlik eden insanlar varken yakın zamanda tanıştığın insanın seni anlamasını beklemek ya da karşındakini tanımak, sonra hayal kırıklığına uğramak zor geliyor olmalı diye düşünüyordum. Hayat gailesi, koşturmacalar zaman zaman insanları birbirinden uzaklaştırabiliyor. İşte o zaman anladım ne denmek istendiğini.Harlem diye bir diziye denk geldim geçenlerde. Adından anlaşılacağı üzere Harlem’de yaşam üzerine kurulu bir diziydi ama sadece kadın karakterler üzerinden yapıyordu bunu. Bu bile seyretmem için yeterli bir sebepti. Başlarda sadece flört, sevgililik, ilişkiler üzerine kurulu sandığım dizi bir süre sonra siyahi kadınların kariyerlerini ve kendilerini inşa etmelerine dayandı. Birbirinden farklı özelliklere sahip dört arkadaşın farklı iş kollarında siyahi bir kadın olarak her gün verdikleri savaşları, çatışmaları, çabalarını da anlatıyordu. Irkçılık, öteki olmak, kadın olmak üzerine tiratlarla başlayan dizide güncel sorunlar gerçekçi karakterlerle işleniyor. Klişeye kaçan yönleri de olsa bana anlamlı gelen bir diziydi. "
608,"Hepsi
farklı iş kollarında çalışan dört kadın var, hepsinin kaygıları, çabaları,
dünyaları farklı aslında. Diziyi izledikçe bazı karakterlerle daha fazla bağ
kurdum. Mesela Quinn, düzenli, masa başı bir işi varken hayallerinin
peşinden gidiyor. Aslında hepsi hayallerinin peşinden gidiyorlar.
Bazılarının hayalleri daha makbul sadece. Quinn, kendi butiğini açıyor, kıyafet
tasarlıyor. Dizinin başında çoğu karakterin tuzu kuru gibi görünüyor. Fakat
karakterler işlendikçe, geçmişe dönüldükçe her karakterin baş etmeye çalıştığı
şeylere şahit oluyoruz. Quinn’in maalesef en büyük savaşı annesiyle, yeni bir
iş kurmak, o işte tutunmak zaten zorken, aldığı bu kararın sonuçlarını sırtlanırken
ailesinden her destek istediğinde kendini sorguluyor. Aradan ne kadar zaman
geçerse geçsin bu yüzüne çarpılıyor. Angie de Quinn’den farklı değil ama
sorunlarla baş etme stratejileri biraz daha farklı. Sanatçı olması ve
arkadaşlarının varlığı, ailesinin zorlayıcı bir faktör olarak görünmemesi onun
hayatını bir açıdan kolaylaştırıyordu. "
609,"Dizide
bir de queer karakter vardı, Tye, bu karakterin ilişkilenme biçimi ve kariyer
hırsı başta beni rahatsız etse de bir süre sonra karakterin maskesini
düşürmesiyle gerçekleri görüyorsunuz. Çok başarılı görünse de sahibi olduğu
dating firması yüzünden hoşlandığı kadınla beraber olamıyor. Dizinin beni
yakalayan yönlerinden biri güncel olması, queer bir karakter elbette planlı ve
bilinçli bir tercih olsa da zorla serpiştirilmiş hissi vermedi. Bu dizi siyahi
karakterleri, Harlem’i konu edinmiş olabilir ama benim hayatım da vardı içinde.
Camille’nin yaşadığı hayal kırıklığında, siyahi bir kadının onun yaşadığı
heyecanı, çabayı kendiliğinden anlayacağına duyduğu inançta, Angie’nin
ırkçılığı gördüğü halde buna etik olarak tepki göstermesi gerektiğini düşündüğü
anda ama herkesin ona alttan almasını, bir yetişkin olmasını öğütlediğinde
kendimi gördüm."
610,"Dizinin
sadece bir sezonu çekilmiş, devamı gelir mi bilmiyorum ama diziyi seyrederken
ilişkiler üzerine çok düşündüm. Sanırım en çok arkadaşlık üzerine düşündüm. O
dört arkadaşın ilişkisi, tartışsalar da kızsalar da birbirlerinin yanlarında
olmaları, en büyük sırlarını bilmeleri, bazen o sırları hemen itiraf
edememeleri ama her şekilde birbirlerine sığınmaları çok hoşuma gitti ve fark
ettim ki arkadaşlarım var evet ama öyle bir kız grubum yok. "
611,"Sadece
kendi ilişkilerim üzerine düşünmüyorum, gözlem yapmayı, insanları dinlemeyi
seviyorum. Bakıyorum da aslında bu benim yaşlarımda insanların kendilerini
yalnız hissetmelerinin bir sebebi. O eski ilişkilerin artık
kurulmayacağına inanıyoruz, bu yüzden çaba da göstermiyoruz. Çaba
göstermediğimiz için de sahip olma fırsatını geri tepmiş oluyoruz ve o sıcak
iletişimi dizi izler gibi izliyoruz. Pandemide de bizi en çok zorlayan
şeylerden biri bu oldu, arkadaşlarımızdan, derin ilişkiler kurduğumuz insanlardan
uzaklaştık, uzaklaşmak zorunda kaldık. Bu izolasyon ister istemez
arkadaşlıklarımızı baltaladı. Şimdi yeniden inşa etme zamanı. Tabii şimdi de
savaş gibi bir gündemimiz var, ama şimdilik bunu düşünmemeye çalışalım."
612,"Johann
Hari’nin yazdığı Kaybolan Bağlar kitabı genelde depresyon üzerine odaklı bir
kitap olsa da bu kitapta Diğer İnsanlarla Bağ Kurmak isimli bir bölüm var. Kabaca
özetlemek gerekirse Brett Ford’un yaptığı araştırma, diğer sosyal bilimcilerin
araştırmasıyla örtüşüyor, Batı toplumlarında bireysellikten kaynaklanan bir
mutsuzluk hakim olabiliyor ama kurduğumuz sağlam ilişkiler, birbirimizle olan
bağlantılarımız bizi mutlu ediyor. Orada Brett Ford’un araştırması üzerine
yazarın düşünceleri aslında benim arkadaşlık üzerine düşüncelerimi, o samimi ilişkilerden
uzakta kaldığım süre boyunca hissettiklerimi doğrular nitelikteydi."
613,"“Biz bir grubuz, birbirimize aidiz, aramızda bir bağ var. Batı’da benlik hissimizi yalnızca kendi egomuza (ya da en fazla ailemize) indirgemiş durumdayız; bu da çektiğimiz acının büyümesine, mutluluğumuzun ise azalmasına yol açıyor.”"
614,"Böyle
düşünceler arasında gidip gelirken etrafıma baktım, belki dizideki gibi sıklıkla
yüz yüze görüşebildiğim “girl gang”im yoktu ama etrafımda kadınlar vardı.
Düştüğümde beni kaldıracak, benim de koşacağım, birbirimize el uzattığımız,
mesafelerin bize engel olmasına izin vermediğimiz kadınlar. Farklı yaşlardan,
kültürlerden, inançlardan kadınlar. Bazen arkadaş olamayacağımızı bildiğimiz
kadınlarla da dayanışma düşüncesiyle yanında olduğumuz gibi bir gerçek vardı.
Bu bana çok iyi geldi. Kadınlarla etrafımın çevrilmiş olması, o zenginlik, o
neşe, o enerji. Bunu yapan da feminizm oldu. Nasılını açıklayayım. Bir yaştan
sonra arkadaş olamamanın sebepleri arasında kendi hayatına çekilmek var ve
rekabet… Aynı kariyer rotasını takip eden kadınları düşünelim mesela. Ataerkil
bir düzenin içinde kendini var etmeye çalışan kadınlar, tıpkı dizideki Camille
gibi kariyerine dair ciddi endişeler yaşıyor ya da Tye’ın başarısını ön plana
çıkarması gibi davranışlar sergileyebiliyor. Dönüp etrafımdaki kadınlara
bakıyorum ve şunu çok net hissediyorum: Feminizm bizi kurtardı. Feminizm
kadının kadının kurdu olmadığını bir daha öğretti, unuttuklarımızı hatırlattı. Birbirimize
tutunabileceğimizi, tekrar beraber olabileceğimizi, omuz omuza
yürüyebileceğimizi gösterdi. Varlıklarına, bana bir ses olan, yalnız olmadığımı
hatırlatan tüm kadınlara minnetle. "
615,"“Şapka takmamak için direnen, hatta ölen insanlardan baş örtüsü takmak için mücadele eden insanlardan geldiğimiz nokta” yazmış biri, bir başkası ise “İlke ve inkılaplara uygundur,” demiş —güldürdü, yalan yok."
616,Günümüzde köy the new black olduğu için köye giden insan sayısı da artmaya başladı. Bunun sebebi köyde yapılacak bir işin kalmaması sanırım. Gerçekte köyde işler hiç bitmez ancak o işlerin yapılacağını buyuran...
617,Küçüklüğü Kuran kurslarında ve sohbet ortamlarında geçmiş biri olarak böyle yerlerde sürüden ayrı olarak var olmanın hiç de kolay olmadığını söylemeliyim.
618,Yazar: rumeysa ç.
